qid,pid,dia_id,gold_fid,pool_pos,pool_size,scored_pos,scored_size,gated_pos,gated_size,mmr_pos,in_mmr_top20,ce_pos,final_pos
16,locomo_conv-26,D5:4,18,3,24,22,24,22,24,11,1,22,-1
19,locomo_conv-26,D6:16,108,9,24,1,24,1,24,20,0,1,-1
39,locomo_conv-26,D8:4,18,2,24,21,24,21,24,15,1,21,-1
41,locomo_conv-26,D10:8,199,1,24,7,24,7,24,10,1,7,-1
55,locomo_conv-26,D13:11,264,1,24,16,24,16,24,6,1,16,6
57,locomo_conv-26,D14:15,287,0,24,4,24,4,24,0,1,4,0
58,locomo_conv-26,D14:1,273,0,24,7,24,7,24,0,1,7,0
65,locomo_conv-26,D15:28,334,0,24,4,24,4,24,0,1,4,0
116,locomo_conv-26,D8:12,148,0,24,3,24,3,24,0,1,3,0
128,locomo_conv-26,D14:17,287,6,24,6,24,6,24,2,1,0,2
129,locomo_conv-26,D14:23,295,0,24,0,24,0,24,0,1,0,0
130,locomo_conv-26,D15:23,330,0,24,2,24,2,24,0,1,2,0
131,locomo_conv-26,D15:28,334,0,24,2,24,2,24,0,1,0,0
132,locomo_conv-26,D15:28,334,0,24,2,24,2,24,0,1,0,0
142,locomo_conv-26,D17:23,378,0,24,11,24,11,24,0,1,0,0
143,locomo_conv-26,D17:25,380,1,24,8,24,8,24,17,1,0,-1
176,locomo_conv-30,D5:5,719,1,24,7,24,7,24,3,1,1,3
180,locomo_conv-30,D1:14,433,12,24,16,24,16,24,6,1,11,6
185,locomo_conv-30,D16:3,719,0,24,6,24,6,24,0,1,0,0
190,locomo_conv-30,D19:4,778,0,24,6,24,6,24,0,1,0,0
214,locomo_conv-30,D9:10,592,0,24,16,24,16,24,0,1,16,0
220,locomo_conv-30,D13:11,660,1,24,12,24,12,24,5,1,0,5
230,locomo_conv-30,D16:3,719,0,24,6,24,6,24,0,1,0,0
233,locomo_conv-30,D18:13,766,12,24,6,24,6,24,1,1,6,1
236,locomo_conv-41,D2:28,832,1,36,20,36,20,36,7,1,20,7
252,locomo_conv-41,D7:16,930,1,36,2,36,2,36,17,1,0,-1
257,locomo_conv-41,D2:25,830,0,36,19,36,19,36,0,1,0,0
278,locomo_conv-41,D25:2,1288,1,36,14,36,14,36,2,1,0,2
283,locomo_conv-41,D26:1,1317,34,36,20,36,20,36,16,1,20,-1
